,zc
2030,60607
2031,60614
2032,60610
2033,60610
2034,60614
2035,60614
2036,60625
2037,60614
2038,60614
2039,60625
2040,60614
2041,60610
2042,60610
2043,60610
2044,60610
2045,60610
2046,60614
2047,60614
2048,60610
2049,60614
2050,60614
2051,60606
2052,60661
2053,60606
2054,60661
2055,60614
2056,60625
2057,60651
2058,nan
2059,60625
2060,60625
2061,60625
2062,60625
2063,60661
2064,60618
2065,60618
2066,60618
2067,60618
2068,60610
2069,60661
2070,60601
2071,60610
2072,60606
2073,60604
2074,60604
2075,60611
2076,60606
2077,60610
2078,60604
2079,60660
2080,60622
2081,60651
2082,60622
2083,nan
2084,nan
2085,nan
2086,60613
2087,nan
2088,60616
2089,60606
2090,60606
2091,60606
2092,60601
2093,60657
2094,nan
2095,60610
2096,60607
2097,60661
2098,nan
2099,60608
2100,60618
2101,9020
2102,60625
2103,60601
2104,60618-9997
2105,60618-9997
2106,9020
2107,60618
2108,60618
2109,9020
2110,60618
2111,60657
2112,9020
2113,60625
2114,9020
2115,60606
2116,60661
2117,60614
2118,60610
2119,60614
2120,60610
2121,60610
2122,60610
2123,60091
2124,60610
2125,60610
2126,60610
2127,60610
2128,60606
2129,60610
2130,60614
2131,60610
2132,60610
2133,60601
2134,60601
2135,60606
2136,60696
2137,60603
2138,60696
2139,nan
2140,60610
2141,nan
2142,60622
2143,60611
2144,60661
2145,60606
2146,60606
2147,60640
2148,60661
2149,60661
2150,60606
2151,60604
2152,60606
2153,60611
2154,60654
2155,60654
2156,60611
2157,60606
2158,60611
2159,60661
2160,60611
2161,60606
2162,60604
2163,60654
2164,60606
2165,60661
2166,60604
2167,60605
2168,60601
2169,60601
2170,60606
2171,60644
2172,60651
2173,60696
2174,60611
2175,60661
2176,60606
2177,60607
2178,60616
2179,60606
2180,60606
2181,60606
2182,60601
2183,60603
2184,nan
2185,9020
2186,60625
2187,60606
2188,60606
2189,60661
2190,60654
2191,60654
2192,nan
2193,60654
2194,60661
2195,60610
2196,60606
2197,60604
2198,60661
2199,60654
2200,60604
2201,60606
2202,60606
2203,60661
2204,60654
2205,60604
2206,60606
2207,nan
2208,60614
2209,9020
2210,60606
2211,60601
2212,60660
2213,60657
2214,nan
2215,60657
2216,60601
2217,nan
2218,60641
2219,60641
2220,60610
2221,60610
2222,60661
2223,nan
2224,60661
2225,60610
2226,60654
2227,60661
2228,60661
2229,60661
